Subject,Start Date,Start Time,End Date,End Time,Description
A1,07/29/2015,03:05 PM,07/29/2015,11:20 PM,DKOU LLEC HBEL BBER 
A1,07/30/2015,03:05 PM,07/30/2015,11:20 PM,DBOU LLEC HBEL BBER 
A1,07/31/2015,03:05 PM,07/31/2015,11:20 PM,DBOU LLEC HBEL BBER 
N1,08/03/2015,11:25 PM,08/04/2015,07:00 AM,LLEC HBEL 
N1,08/04/2015,11:25 PM,08/05/2015,07:00 AM,LLEC HBEL 
N1,08/05/2015,11:25 PM,08/06/2015,07:00 AM,LLEC HBEL 
N1,08/06/2015,11:25 PM,08/07/2015,07:00 AM,LLEC HBEL 
N1,08/07/2015,11:25 PM,08/08/2015,07:00 AM,HBEL 
M4,08/10/2015,04:55 AM,08/10/2015,01:10 PM,MWEM LLEC RDAT BBER INAK 
M4,08/11/2015,04:55 AM,08/11/2015,01:10 PM,MWEM LLEC RDAT BBER INAK 
M4,08/12/2015,04:55 AM,08/12/2015,01:10 PM,JFRO RDAT BBER INAK 
M4,08/14/2015,04:55 AM,08/14/2015,01:10 PM,MWEM RDAT BBER INAK 
M4,08/15/2015,04:55 AM,08/15/2015,01:10 PM,
N1,08/22/2015,11:25 PM,08/23/2015,07:00 AM,
N1,08/23/2015,11:25 PM,08/24/2015,07:00 AM,DKOU 
M1,08/27/2015,06:55 AM,08/27/2015,03:10 PM,GREN JFRO BBER INAK 
M1,08/28/2015,06:55 AM,08/28/2015,03:10 PM,GREN JFRO BBER INAK 
M4,08/29/2015,04:55 AM,08/29/2015,01:10 PM,MWEM 
N1,08/31/2015,11:25 PM,09/01/2015,07:00 AM,AMAY LLEC 
N1,09/01/2015,11:25 PM,09/02/2015,07:00 AM,AMAY LLEC 
N1,09/02/2015,11:25 PM,09/03/2015,07:00 AM,AMAY LLEC 
N1,09/03/2015,11:25 PM,09/04/2015,07:00 AM,AMAY LLEC 
N1,09/04/2015,11:25 PM,09/05/2015,07:00 AM,LLEC 
A1,09/07/2015,03:05 PM,09/07/2015,11:20 PM,DBOU AMAY RDEG BBER TTOU 
A1,09/08/2015,03:05 PM,09/08/2015,11:20 PM,DBOU RDEG BBER TTOU 
A1,09/09/2015,03:05 PM,09/09/2015,11:20 PM,DBOU RDEG BBER TTOU 
A1,09/10/2015,03:05 PM,09/10/2015,11:20 PM,DBOU RDEG BBER TTOU 
CP,09/11/2015
A1,09/14/2015,03:05 PM,09/14/2015,11:20 PM,DKOU RDAT TTOU VLEG 
A1,09/15/2015,03:05 PM,09/15/2015,11:20 PM,DKOU RDAT TTOU VLEG 
A1,09/16/2015,03:05 PM,09/16/2015,11:20 PM,DKOU RDAT TTOU VLEG 
A1,09/17/2015,03:05 PM,09/17/2015,11:20 PM,DKOU AMAY RDAT TTOU VLEG 
M1,09/21/2015,06:55 AM,09/21/2015,03:10 PM,MWEM GREN TGOR SELM FGOR RDAT 
M1,09/22/2015,06:55 AM,09/22/2015,03:10 PM,MWEM GREN TGOR SELM FGOR RDAT 
M1,09/23/2015,06:55 AM,09/23/2015,03:10 PM,MWEM GREN TGOR SELM FGOR RDAT 
M4,09/26/2015,04:55 AM,09/26/2015,01:10 PM,
M1,09/27/2015,06:55 AM,09/27/2015,03:10 PM,
A1,09/30/2015,03:05 PM,09/30/2015,11:20 PM,DBOU AMAY DSEN LLEC TTOU BHER 
A1,10/01/2015,03:05 PM,10/01/2015,11:20 PM,DBOU LLEC SELM FGOR TTOU BHER 
A1,10/02/2015,03:05 PM,10/02/2015,11:20 PM,DSEN SELM TTOU BHER 
M1,10/05/2015,06:55 AM,10/05/2015,03:10 PM,GREN JFRO FGOR RDAT RDEG TTOU INAK 
M1,10/06/2015,06:55 AM,10/06/2015,03:10 PM,GREN JFRO FGOR RDAT RDEG TTOU INAK 
M1,10/07/2015,06:55 AM,10/07/2015,03:10 PM,GREN JFRO FGOR RDAT RDEG TTOU 
M4,10/08/2015,04:55 AM,10/08/2015,01:10 PM,MWEM FGOR RDAT RDEG TTOU 
M1,10/09/2015,06:55 AM,10/09/2015,03:10 PM,MWEM GREN FGOR RDEG TTOU 
M1,10/12/2015,06:55 AM,10/12/2015,03:10 PM,JFRO RDAT RDEG TTOU INAK 
M1,10/19/2015,06:55 AM,10/19/2015,03:10 PM,DBOU RDEG BBER TTOU INAK 
M1,10/20/2015,06:55 AM,10/20/2015,03:10 PM,DBOU RDEG BBER TTOU JRIL INAK 
M1,10/21/2015,06:55 AM,10/21/2015,03:10 PM,DBOU GREN RDEG BBER TTOU JRIL 
M1,10/22/2015,06:55 AM,10/22/2015,03:10 PM,DBOU MWEM GREN BBER TTOU JRIL 
M4,10/24/2015,04:55 AM,10/24/2015,01:10 PM,RDEG 
M1,10/26/2015,06:55 AM,10/26/2015,03:10 PM,MWEM GREN JBOU TTOU JRIL 
M1,10/27/2015,06:55 AM,10/27/2015,03:10 PM,MWEM GREN JBOU TTOU JRIL 
A1,10/31/2015,03:05 PM,10/31/2015,11:20 PM,LLEC 
A1,11/01/2015,03:05 PM,11/01/2015,11:20 PM,RDEG 
A2,11/04/2015,03:15 PM,11/04/2015,11:30 PM,JFIR MWEM RDAT RDEG BBER TTOU JRIL 
A2,11/05/2015,03:15 PM,11/05/2015,11:30 PM,JFIR MWEM AMAY SELM RDEG TTOU JRIL 
A2,11/06/2015,03:15 PM,11/06/2015,11:30 PM,JFIR MWEM AMAY SELM TTOU JRIL 
N1,11/09/2015,11:25 PM,11/10/2015,07:00 AM,TGOR JFRO 
N1,11/10/2015,11:25 PM,11/11/2015,07:00 AM,TGOR JFRO 
N1,11/11/2015,11:25 PM,11/12/2015,07:00 AM,JFRO 
N1,11/12/2015,11:25 PM,11/13/2015,07:00 AM,TGOR JFRO 
N1,11/13/2015,11:25 PM,11/14/2015,07:00 AM,JFRO 
A2,11/16/2015,03:15 PM,11/16/2015,11:30 PM,MWEM AMAY BBER TTOU 
A2,11/17/2015,03:15 PM,11/17/2015,11:30 PM,MWEM AMAY BBER TTOU 
A2,11/18/2015,03:15 PM,11/18/2015,11:30 PM,DBOU MWEM BBER TTOU 
A2,11/19/2015,03:15 PM,11/19/2015,11:30 PM,DBOU MWEM HBEL TTOU 
A2,11/20/2015,03:15 PM,11/20/2015,11:30 PM,DBOU MWEM HBEL TTOU 
M4,11/23/2015,04:55 AM,11/23/2015,01:10 PM,MWEM GREN TGOR JBOU RDAT JRIL INAK 
M4,11/24/2015,04:55 AM,11/24/2015,01:10 PM,MWEM GREN TGOR JBOU RDAT JRIL INAK 
M4,11/25/2015,04:55 AM,11/25/2015,01:10 PM,MWEM GREN TGOR JBOU RDAT HBEL BBER JRIL 
M4,11/26/2015,04:55 AM,11/26/2015,01:10 PM,MWEM GREN JBOU RDAT HBEL BBER JRIL 
M4,11/27/2015,04:55 AM,11/27/2015,01:10 PM,GREN JBOU RDAT HBEL BBER JRIL 
A2,12/03/2015,03:15 PM,12/03/2015,11:30 PM,JFIR DKOU SELM TTOU BHER 
A2,12/04/2015,03:15 PM,12/04/2015,11:30 PM,JFIR DKOU SELM BHER 
N1,12/05/2015,11:25 PM,12/06/2015,07:00 AM,
N1,12/06/2015,11:25 PM,12/07/2015,07:00 AM,RDEG 
M1,12/09/2015,06:55 AM,12/09/2015,03:10 PM,JFIR GREN DSEN JFRO JBOU TTOU BHER VLEG 
M1,12/10/2015,06:55 AM,12/10/2015,03:10 PM,GREN DSEN JFRO JBOU TTOU BHER VLEG 
M1,12/11/2015,06:55 AM,12/11/2015,03:10 PM,GREN JFRO JBOU TTOU BHER VLEG 
M1,12/14/2015,06:55 AM,12/14/2015,03:10 PM,JFIR GREN RDEG BHER INAK 
M1,12/15/2015,06:55 AM,12/15/2015,03:10 PM,JFIR GREN JFRO RDEG BHER INAK 
M1,12/16/2015,06:55 AM,12/16/2015,03:10 PM,JFIR MWEM GREN JFRO RDEG BHER 
M1,12/17/2015,06:55 AM,12/17/2015,03:10 PM,JFIR MWEM GREN JFRO JBOU RDEG BHER 
M1,12/18/2015,06:55 AM,12/18/2015,03:10 PM,JFIR MWEM GREN JFRO JBOU BHER 
N1,12/21/2015,11:25 PM,12/22/2015,07:00 AM,TGOR BHER 
N1,12/22/2015,11:25 PM,12/23/2015,07:00 AM,TGOR BHER 
N1,12/23/2015,11:25 PM,12/24/2015,07:00 AM,TGOR BHER 
N1,12/24/2015,11:25 PM,12/25/2015,07:00 AM,TGOR BHER 
N1,12/25/2015,11:25 PM,12/26/2015,07:00 AM,BHER 
A1,12/28/2015,03:05 PM,12/28/2015,11:20 PM,DKOU SELM RDAT TTOU 
A1,12/29/2015,03:05 PM,12/29/2015,11:20 PM,DKOU SELM RDAT TTOU 
A1,12/30/2015,03:05 PM,12/30/2015,11:20 PM,JFIR DKOU SELM RDAT TTOU 
A1,12/31/2015,03:05 PM,12/31/2015,11:20 PM,JFIR DKOU DSEN SELM TTOU 
